Time,Vin,Filtre1,Filtre2,Cnt,Cnt1,Cnt2
0,869,868,868,1,9,11
0.5,869,868,869,1,9,11
1.0,869,868,868,1,9,11
1.5,870,867,867,1,9,11
2.0,869,868,868,1,9,11
2.5,870,869,869,1,9,11
3.0,870,868,868,1,9,11
3.5,869,868,868,1,9,11
4.0,869,868,869,1,9,11
4.5,869,869,869,1,9,11
5.0,867,868,868,1,9,11
5.5,870,868,868,1,9,11
6.0,867,867,867,1,9,11
6.5,871,868,868,1,9,11
7.0,870,868,868,1,9,11
7.5,867,867,867,1,9,11
8.0,865,865,865,15,9,11
8.5,861,857,856,34,12,14
9.0,873,871,871,85,21,21
9.5,893,890,890,98,22,22
10.0,907,907,907,109,23,23
10.5,944,942,941,142,29,25
11.0,1201,1200,1200,194,46,42
11.5,1437,1435,1434,234,60,56
12.0,1582,1579,1578,284,71,65
12.5,1646,1645,1644,344,81,71
13.0,1729,1727,1726,402,86,76
13.5,1789,1789,1789,435,90,80
14.0,1845,1846,1846,481,94,84
14.5,1890,1888,1887,556,107,86
15.0,1936,1933,1933,645,115,91
15.5,2011,2010,2009,679,122,96
16.0,2124,2123,2123,734,131,103
16.5,2331,2331,2331,767,144,116
17.0,2630,2628,2627,821,163,135
17.5,2896,2895,2895,908,179,151
18.0,2916,2914,2914,949,187,153
18.5,2912,2912,2913,967,187,153
19.0,2903,2902,2902,1068,204,168
19.5,2439,2444,2445,1108,233,197
20.0,2023,2020,2020,1144,259,223
20.5,1887,1889,1889,1209,267,231
21.0,1793,1795,1795,1262,273,237
21.5,1583,1584,1584,1312,288,250
22.0,939,941,943,1367,329,291
22.5,855,855,855,1412,340,296
23.0,863,863,863,1544,376,314
23.5,1723,1714,1711,1645,438,373
24.0,2444,2439,2437,1708,483,419
24.5,2915,2915,2915,1763,513,449
25.0,2590,2610,2618,1828,540,472
25.5,1856,1857,1858,1890,587,519
26.0,1473,1479,1482,1951,611,543
26.5,855,856,856,2022,650,582
27.0,867,866,865,2121,657,587
27.5,869,868,868,2121,657,587
28.0,997,983,979,2165,668,598
28.5,1778,1775,1775,2231,717,647
29.0,2054,2045,2043,2280,736,664
29.5,2913,2914,2914,2361,791,719
30.0,2913,2915,2915,2365,791,719
30.5,1872,1873,1873,2455,856,784
31.0,1472,1478,1481,2505,881,809
31.5,858,860,860,2556,920,848
32.0,865,865,865,2637,927,853
32.5,866,866,867,2643,927,853
33.0,867,867,867,2643,927,853
33.5,922,919,918,2674,932,858
34.0,1738,1733,1732,2750,983,909
34.5,1936,1936,1935,2803,996,921
35.0,2913,2912,2912,2881,1057,983
35.5,2495,2510,2515,2923,1083,1008
36.0,1874,1876,1877,2993,1122,1048
36.5,1712,1711,1711,3043,1133,1059
37.0,913,916,917,3110,1182,1108
37.5,866,865,865,3137,1191,1113
38.0,871,869,869,3141,1191,1113
38.5,1415,1408,1405,3189,1227,1148
39.0,1831,1828,1827,3244,1253,1175
39.5,2132,2127,2125,3309,1273,1193
40.0,2915,2915,2914,3373,1325,1243
40.5,2002,2008,2010,3465,1382,1300
41.0,1783,1788,1789,3519,1396,1314
41.5,1267,1280,1284,3576,1427,1345
42.0,863,864,864,3636,1455,1373
42.5,866,867,867,3643,1457,1373
43.0,1298,1285,1280,3690,1485,1401
43.5,1803,1803,1803,3752,1517,1433
44.0,1951,1949,1948,3805,1528,1442
44.5,2845,2835,2832,3880,1584,1498
45.0,2877,2883,2884,3916,1593,1505
45.5,1744,1746,1746,4023,1664,1576
46.0,943,944,944,4107,1714,1626
46.5,867,868,868,4181,1725,1637
47.0,867,867,867,4181,1725,1637
47.5,1369,1354,1349,4234,1757,1669
48.0,1819,1816,1815,4283,1786,1698
48.5,2286,2271,2266,4334,1814,1726
49.0,2911,2912,2912,4414,1857,1769
49.5,1840,1842,1842,4517,1930,1838
50.0,1317,1330,1335,4573,1962,1870
50.5,857,859,860,4612,1992,1900
51.0,869,867,867,4635,1997,1901
51.5,1533,1524,1521,4684,2040,1944
52.0,1931,1929,1928,4740,2065,1969
52.5,2914,2914,2914,4817,2127,2031
53.0,2886,2889,2890,4837,2129,2033
53.5,1869,1869,1870,4924,2195,2097
54.0,1622,1623,1624,4981,2210,2112
54.5,863,863,863,5052,2258,2160
55.0,849,852,853,5144,2284,2168
55.5,1771,1770,1769,5222,2341,2225
56.0,2025,2024,2022,5272,2357,2241
56.5,2911,2909,2909,5340,2412,2296
57.0,2909,2908,2908,5364,2416,2298
57.5,1892,1896,1897,5440,2479,2361
58.0,1667,1669,1670,5498,2493,2375
58.5,881,882,883,5568,2542,2424
59.0,863,863,863,5698,2578,2442
59.5,1809,1808,1808,5793,2638,2502
60.0,2142,2136,2134,5851,2658,2522
60.5,2901,2901,2900,5924,2706,2570
61.0,2895,2895,2895,5993,2711,2573
61.5,1857,1859,1859,6076,2775,2637
62.0,1444,1451,1454,6137,2801,2663
62.5,859,862,862,6208,2838,2700
63.0,915,913,911,6364,2844,2703
63.5,1863,1861,1861,6438,2903,2763
64.0,2688,2670,2664,6515,2953,2813
64.5,2913,2914,2914,6563,2969,2829
65.0,2858,2861,2862,6613,2973,2833
65.5,1914,1916,1917,6683,3032,2892
66.0,1712,1713,1714,6743,3044,2904
66.5,1168,1179,1184,6814,3078,2937
67.0,866,866,866,6871,3101,2959
67.5,2915,2914,2914,6932,3163,3022
68.0,2915,2915,2914,6940,3163,3022
68.5,2913,2913,2912,6948,3163,3022
69.0,865,866,867,7091,3264,3120
69.5,867,865,865,7121,3264,3120
70.0,864,865,865,7143,3264,3120
70.5,865,866,865,7155,3264,3120
71.0,2915,2916,2915,7228,3334,3190
71.5,2918,2915,2915,7230,3334,3190
72.0,2914,2913,2913,7234,3334,3190
72.5,867,866,866,7336,3413,3269
73.0,866,867,866,7340,3413,3269
73.5,913,910,910,7359,3417,3273
74.0,1805,1800,1799,7431,3473,3329
74.5,2259,2245,2240,7482,3501,3357
75.0,2904,2908,2908,7561,3544,3402
75.5,1850,1853,1853,7636,3610,3468
76.0,1300,1312,1316,7687,3643,3501
76.5,862,862,862,7761,3672,3530
77.0,865,865,865,7874,3685,3535
77.5,1456,1450,1448,7943,3727,3575
78.0,1797,1796,1795,8003,3749,3597
78.5,2003,2002,2001,8052,3762,3610
79.0,2905,2904,2903,8121,3818,3666
79.5,2722,2756,2768,8202,3831,3678
80.0,1787,1788,1788,8282,3892,3740
80.5,1102,1121,1129,8340,3933,3781
81.0,863,863,863,8385,3950,3798
81.5,864,863,863,8540,3982,3820
82.0,1685,1680,1678,8602,4034,3871
82.5,1936,1936,1935,8656,4050,3887
83.0,2913,2913,2913,8728,4111,3949
83.5,1966,1969,1970,8809,4170,4008
84.0,1509,1518,1521,8856,4199,4036
84.5,866,866,865,8942,4251,4083
85.0,1707,1701,1698,9021,4305,4137
85.5,2559,2536,2526,9102,4357,4188
86.0,2393,2443,2461,9189,4415,4242
86.5,866,865,864,9309,4515,4343
87.0,1836,1834,1833,9408,4577,4405
87.5,2914,2914,2914,9493,4645,4473
88.0,1473,1498,1506,9606,4733,4561
88.5,895,891,890,9670,4777,4606
89.0,1879,1877,1877,9752,4839,4668
89.5,2917,2916,2916,9834,4906,4733
90.0,1343,1377,1389,9946,5000,4827
90.5,871,869,869,9987,5034,4861
91.0,867,869,869,9987,5034,4861
91.5,873,870,870,9987,5034,4861
92.0,866,865,864,9997,5034,4861
92.5,859,857,857,10052,5039,4864
93.0,897,895,895,10121,5043,4866
93.5,1037,1034,1032,10159,5054,4877
94.0,1392,1391,1391,10214,5076,4899
94.5,1513,1510,1510,10245,5084,4907
95.0,1610,1609,1608,10314,5092,4913
95.5,1649,1647,1648,10393,5096,4916
96.0,1698,1698,1697,10424,5104,4919
96.5,1726,1725,1725,10459,5109,4920
97.0,1735,1732,1732,10512,5110,4921
97.5,1758,1757,1757,10583,5113,4922
98.0,1792,1792,1792,10628,5128,4927
98.5,1818,1817,1816,10665,5129,4930
99.0,1838,1836,1836,10720,5134,4935
99.5,1845,1843,1843,10793,5143,4938
100.0,1856,1856,1855,10800,5144,4938
100.5,1868,1867,1867,10818,5144,4939
101.0,1874,1873,1872,10931,5159,4942
101.5,1887,1886,1886,10959,5159,4942
102.0,1903,1902,1903,11044,5170,4945
102.5,1917,1916,1916,11103,5179,4946
103.0,1936,1935,1935,11143,5180,4947
103.5,1958,1961,1961,11200,5192,4953
104.0,2005,2004,2004,11249,5203,4956
104.5,2061,2059,2059,11284,5206,4959
105.0,2122,2121,2121,11326,5210,4963
105.5,2192,2192,2191,11373,5217,4969
106.0,2289,2290,2290,11435,5233,4976
106.5,2409,2409,2409,11482,5242,4983
107.0,2653,2650,2649,11554,5261,4998
107.5,2871,2868,2868,11598,5275,5012
108.0,2898,2897,2896,11666,5279,5014
108.5,2913,2913,2913,11737,5288,5021
109.0,2917,2914,2914,11751,5288,5021
109.5,2915,2915,2915,11755,5288,5021
110.0,2913,2915,2915,11759,5288,5021
110.5,2916,2915,2915,11761,5288,5021
111.0,2915,2915,2915,11769,5288,5021
111.5,2914,2914,2914,11773,5288,5021
112.0,2911,2912,2912,11786,5288,5021
112.5,2532,2544,2548,11860,5315,5046
113.0,2559,2558,2558,11895,5335,5066
113.5,2913,2913,2913,11963,5360,5089
114.0,2912,2913,2913,11991,5360,5089
114.5,2871,2873,2874,12072,5365,5096
115.0,2032,2034,2034,12147,5417,5148
115.5,1923,1921,1921,12242,5432,5157
116.0,1881,1881,1881,12263,5437,5160
116.5,1985,1985,1984,12312,5450,5171
117.0,2559,2554,2551,12395,5495,5210
117.5,2914,2913,2913,12457,5518,5233
118.0,2880,2881,2881,12507,5524,5241
118.5,2379,2378,2378,12590,5588,5303
119.0,2878,2876,2875,12656,5623,5338
119.5,2909,2910,2910,12748,5631,5344
120.0,2047,2055,2056,12811,5684,5397
120.5,1895,1892,1891,12892,5698,5411
121.0,1881,1881,1881,12949,5723,5436
121.5,1681,1682,1683,12999,5735,5448
122.0,1933,1931,1930,13048,5762,5475
122.5,1867,1869,1870,13104,5780,5493
123.0,1396,1403,1405,13164,5809,5522
123.5,1839,1834,1831,13236,5870,5583
124.0,1810,1817,1819,13283,5881,5594
124.5,1054,1072,1078,13344,5927,5640
125.0,1741,1735,1734,13413,5992,5705
125.5,1882,1884,1885,13476,6011,5724
126.0,912,914,916,13549,6071,5784
126.5,855,854,854,13569,6075,5788
127.0,1749,1750,1750,13646,6131,5844
127.5,859,859,859,13713,6187,5900
128.0,865,864,863,13802,6194,5904
128.5,1434,1432,1432,13873,6231,5942
129.0,867,864,864,13984,6276,5987
129.5,866,865,865,14072,6282,5991
130.0,865,864,864,14200,6296,5999
130.5,865,865,864,14294,6298,6001
131.0,864,864,864,14416,6318,6019
131.5,866,865,865,14576,6350,6041
132.0,866,864,864,14736,6368,6051
132.5,864,864,863,14868,6390,6068
133.0,865,864,864,14980,6400,6077
133.5,865,865,865,15098,6410,6081
134.0,865,865,864,15226,6416,6089
134.5,866,865,865,15354,6420,6091
135.0,865,865,865,15466,6430,6099
135.5,863,864,864,15627,6470,6127
136.0,865,864,864,15738,6476,6135
136.5,865,864,864,15848,6490,6141
137.0,864,864,864,15974,6502,6149